x_pixel,y_pixel,rssi
470,332,-52.50187806
461,334,-52.08327598
459,334,-52.05289521
458,334,-52.02182909
457,334,-52.28985628
451,335,-52.27764881
450,335,-52.26614822
449,335,-52.25527545
448,335,-52.32692542
444,335,-52.30757325
440,334,-52.28814277
436,333,-52.30862945
435,331,-52.43420287
429,329,-52.47544025
427,329,-52.49399865
421,327,-52.51563363
418,327,-52.34058217
417,326,-52.34911285
413,326,-52.35133159
410,325,-52.65570742
405,325,-52.69246389
401,325,-52.53084733
399,325,-52.54051178
391,324,-52.54701893
390,324,-52.55232096
382,323,-52.55598969
379,323,-52.67753044
378,321,-52.7103722
375,321,-52.74627627
374,320,-52.65533315
373,320,-52.65162008
363,311,-52.66369735
360,310,-52.97601591
359,308,-53.0189156
359,308,-52.66557507
359,308,-52.67653361
357,305,-52.67643392
357,305,-52.4730401
356,303,-52.44571648
355,302,-52.52475481
355,302,-52.51206828
354,299,-52.49690538
353,297,-52.44899433
353,296,-52.4920022
353,295,-52.47464491
353,295,-52.55445604
353,294,-52.54225825
352,292,-52.54918007
353,290,-52.65952643
353,289,-52.67300359
353,289,-52.68909712
352,285,-52.60831629
352,284,-52.62424849
352,282,-52.83747312
352,277,-52.87375594
351,276,-52.90568593
351,274,-52.4420287
351,274,-52.43131356
351,274,-52.40849227
351,273,-52.78204114
351,272,-52.79133554
351,272,-52.40963747
348,272,-52.38817637
345,273,-52.34324669
344,272,-52.39019577
341,273,-52.33864675
340,273,-52.22830856
335,274,-52.20800806
334,274,-52.18795963
328,274,-52.52855148
327,274,-52.50227308
315,275,-52.51153664
314,275,-52.32387267
310,275,-52.32193526
308,274,-52.41510921
307,274,-52.42275546
306,274,-52.44220015
303,274,-52.46561936
299,274,-52.79338533
298,274,-52.81986872
293,273,-52.85162828
291,275,-52.38563744
290,275,-52.39181392
289,274,-52.29880179
286,274,-52.28717104
282,274,-53.0736126
275,273,-53.13675385
271,273,-53.2038673
270,273,-53.24491549
266,273,-53.28742017
265,272,-53.33099936
258,273,-53.92553555
257,273,-54.07890772
246,272,-54.25691831
245,272,-54.65389304
244,272,-54.81192108
242,272,-55.1794378
229,270,-55.37699485
226,270,-55.59020279
225,270,-55.92048105
224,269,-56.17942922
222,268,-56.40481858
221,268,-56.63740967
220,268,-56.67545881
218,267,-56.87761538
218,266,-57.08418482
217,266,-56.87465952
202,259,-57.02442598
201,259,-57.1678483
200,257,-57.29258503
198,257,-57.20390061
192,255,-57.28380881
192,254,-57.34844873
191,253,-57.41574772
188,253,-57.56956095
185,249,-57.61809856
184,249,-57.39244247
181,248,-57.42924412
180,245,-57.6553837
179,244,-57.69166357
177,243,-57.14043986
177,241,-57.12610297
176,241,-57.10386839
176,241,-57.67268046
176,240,-57.68299241
174,238,-57.38948179
175,236,-57.38918573
174,234,-57.38517989
173,231,-57.75815951
172,228,-57.7648091
172,227,-57.72724602
172,227,-57.78736033
175,226,-58.05570952
184,221,-58.09401243
191,219,-58.13511443
192,218,-58.4096777
193,218,-58.71172689
196,218,-58.84438159
196,218,-58.9530038
198,216,-58.87182327
202,216,-58.986281
206,217,-58.90617306
208,217,-58.99121942
209,216,-59.08094012
210,216,-59.17552269
212,217,-58.95210718
213,217,-58.97614521
214,217,-58.98932158
217,218,-58.89295335
218,216,-58.89506636
220,216,-58.8859449
221,216,-59.18392208
222,217,-59.20319235
232,216,-59.21541757
233,217,-59.11940706
246,212,-59.13613705
246,212,-59.15213623
249,213,-59.26841769
250,212,-59.30596413
251,212,-59.34705391
254,213,-59.39316481
255,213,-59.31408908
257,213,-59.12517875
259,211,-58.81615487
263,212,-58.68582965
274,213,-58.24079891
275,213,-58.14966518
277,214,-58.03778993
281,215,-58.41097251
283,214,-58.31736437
285,214,-58.20978432
287,215,-58.09935385
289,215,-57.99677136
291,216,-57.91483301
295,216,-57.83773334
297,217,-57.79742679
298,217,-57.76220295
312,221,-57.73464425
316,221,-57.66701142
318,222,-57.60197613
324,223,-57.54119531
328,224,-57.48537946
327,224,-57.1
328,224,-57.8
328,225,-58.4
336,226,-59
337,227,-59.4
340,227,-59.7
348,229,-59.8
352,229,-59.7
357,230,-59.4
363,231,-59
365,230,-58.5
367,230,-58.1
371,231,-57.8
383,232,-57.5
384,232,-57.4
386,232,-57.4
386,232,-57.5
398,234,-57.7
399,234,-57.9
406,235,-58
407,236,-58
410,235,-57.9
410,235,-57.8
410,235,-57.6
410,235,-57.3
410,235,-57
410,235,-56.6
410,235,-56.2
411,236,-55.9
415,238,-55.7
419,240,-55.5
421,240,-55.4
422,240,-55.1
423,242,-54.9
423,242,-54.9
424,243,-55
426,244,-55.2
431,248,-55.4
432,248,-55.7
433,249,-55.9
435,249,-56.3
436,250,-56.7
437,250,-57.2
440,251,-57.7
441,251,-58
444,252,-58.3
445,252,-58.6
447,253,-59
451,253,-59.3
455,253,-59.7
456,253,-60
459,252,-60.3
461,251,-60.6
464,251,-60.9
465,251,-61.2
468,250,-61.3
469,250,-61.4
469,249,-61.4
470,249,-61.3
474,246,-61.2
475,245,-61
479,242,-60.7
480,240,-60.4
481,241,-60
482,240,-59.6
483,239,-59.3
483,237,-58.9
483,236,-58.5
485,233,-58.2
485,231,-57.9
486,230,-57.7
485,230,-57.6
486,228,-57.5
486,224,-57.5
485,220,-57.4
486,217,-57.3
486,216,-57.3
484,213,-57.2
485,212,-57.1
484,207,-57
484,207,-56.8
482,203,-56.5
483,201,-56.2
483,197,-55.9
482,196,-55.7
480,188,-55.6
481,186,-55.5
480,184,-55.6
480,183,-55.7
479,180,-55.9
479,179,-56.3
479,176,-56.7
479,175,-57.1
478,174,-57.5
479,171,-57.8
477,170,-57.9
476,166,-58.1
475,157,-58.3
475,155,-58.5
473,147,-58.5
473,146,-58.4
471,137,-58.2
471,134,-57.8
471,133,-57.3
471,132,-56.8
470,130,-56.4
470,130,-56
469,128,-55.6
469,126,-55.3
469,124,-55.2
468,119,-55.1
467,116,-55.1
467,115,-55.3
467,108,-55.7
465,107,-56.3
464,99,-56.9
464,99,-57.4
464,99,-57.9
465,99,-58.4
463,95,-58.8
463,94,-59.1
463,91,-59.4
463,87,-59.7
461,82,-59.9
461,80,-59.9
459,74,-59.8
459,73,-59.7
459,71,-59.5
459,71,-59.2
459,71,-59
458,70,-58.9
456,69,-58.9
457,67,-58.9
456,67,-59
456,66,-59.3
455,65,-59.7
453,64,-60
453,62,-60.3
452,61,-60.6
449,59,-60.8
447,56,-61
446,55,-61.1
445,55,-61.2
442,52,-61.2
440,51,-61.1
439,51,-61
438,51,-61
435,49,-61.1
427,49,-61.2
418,50,-61.3
415,51,-61.5
407,52,-61.7
406,52,-61.9
403,52,-62.1
401,54,-62.4
398,53,-62.7
397,54,-63
393,54,-63.2
392,54,-63.4
389,55,-63.6
386,55,-63.6
384,56,-63.6
383,55,-63.6
380,56,-63.5
376,55,-63.3
373,56,-63.1
371,56,-62.9
369,56,-62.7
368,56,-62.5
365,56,-62.2
365,56,-62
365,56,-61.8
365,56,-61.6
364,56,-61.5
